account_rewards,date
-14721.615774536273,2022-04-04
-14388.112037658691,2022-04-05
1392.9964981079102,2022-04-06
-9543.240208434989,2022-04-07
-20613.39885101316,2022-04-08
9236.908174133277,2022-04-11
13528.65048370359,2022-04-12
-25783.458189391997,2022-04-13
-1147.335896301316,2022-04-14
12193.185731506324,2022-04-18
-924.3236892699497,2022-04-19
-4420.9987731934525,2022-04-20
-25651.56139221182,2022-04-21
6126.794021606445,2022-04-22
-34881.77169342048,2022-04-25
-1357.083036804106,2022-04-26
41925.193730163504,2022-04-27
-35783.35348176572,2022-04-28
1851.4942321777344,2022-04-29
9078.552993774414,2022-05-02
39061.86407470703,2022-05-03
-55247.82833862305,2022-05-04
4426.127578735352,2022-05-05
-31223.570709228516,2022-05-06
14654.789779663086,2022-05-09
-47911.99913024902,2022-05-10
-23567.145217895508,2022-05-11
27215.84063720703,2022-05-12
-9390.853225708008,2022-05-13
22131.744033813477,2022-05-16
-50364.58834838867,2022-05-17
-20755.797882080078,2022-05-18
1435.4933624267578,2022-05-19
33018.098724365234,2022-05-20
-16449.13343811035,2022-05-23
956.9033966064453,2022-05-24
19499.775756835938,2022-05-25
35051.737365722656,2022-05-26
-4785.1622314453125,2022-05-27
-777.6165161132812,2022-05-31
14953.908508300781,2022-06-01
-34872.358306884766,2022-06-02
4545.77507019043,2022-06-03
15372.674728393555,2022-06-06
-4486.135681152344,2022-06-07
-31821.71598815918,2022-06-08
-32958.09062194824,2022-06-09
-31403.041946411133,2022-06-10
5263.660018920898,2022-06-13
15970.635650634766,2022-06-14
-32120.74253845215,2022-06-15
8972.363540649414,2022-06-16
25780.16291809082,2022-06-17
-3110.1895294189453,2022-06-21
17466.04493713379,2022-06-22
20277.300094604492,2022-06-23
0.0,2022-06-24
-25242.02574157715,2022-06-27
10706.975631713867,2022-06-28
-15013.640075683594,2022-06-29
13218.927703857422,2022-06-30
15731.617202758789,2022-07-01
