,date,actions
0,2022-07-06,[-39]
1,2022-07-07,[32]
2,2022-07-08,[-71]
3,2022-07-11,[-23]
4,2022-07-12,[99]
5,2022-07-13,[2]
6,2022-07-14,[-100]
7,2022-07-15,[52]
8,2022-07-18,[47]
9,2022-07-19,[0]
10,2022-07-20,[0]
11,2022-07-21,[0]
12,2022-07-22,[-100]
13,2022-07-25,[100]
14,2022-07-26,[-100]
15,2022-07-27,[97]
16,2022-07-28,[-42]
17,2022-07-29,[41]
18,2022-08-01,[0]
19,2022-08-02,[-63]
20,2022-08-03,[-33]
21,2022-08-04,[93]
22,2022-08-05,[0]
23,2022-08-08,[-50]
24,2022-08-09,[50]
25,2022-08-10,[-100]
26,2022-08-11,[-37]
27,2022-08-12,[96]
28,2022-08-15,[38]
29,2022-08-16,[-4]
30,2022-08-17,[-100]
31,2022-08-18,[100]
32,2022-08-19,[4]
33,2022-08-22,[-16]
34,2022-08-23,[-17]
35,2022-08-24,[33]
36,2022-08-25,[0]
37,2022-08-26,[0]
38,2022-08-29,[-100]
39,2022-08-30,[71]
40,2022-08-31,[19]
41,2022-09-01,[-100]
42,2022-09-02,[-18]
43,2022-09-06,[100]
44,2022-09-07,[32]
45,2022-09-08,[-100]
46,2022-09-09,[98]
47,2022-09-12,[-100]
48,2022-09-13,[15]
49,2022-09-14,[-100]
50,2022-09-15,[80]
51,2022-09-16,[100]
52,2022-09-19,[15]
53,2022-09-20,[-84]
54,2022-09-21,[70]
55,2022-09-22,[-99]
56,2022-09-23,[100]
57,2022-09-26,[-100]
58,2022-09-27,[37]
59,2022-09-28,[79]
60,2022-09-29,[-20]
61,2022-09-30,[-80]
